Player 0,,,,,,pair,Player 0 win,Player 1,,,,,pair,Player 1 win,Player 2,,,,,pair,Player 2 win,Player 3,,,,,pair,Player 3 win,Player 4,,,,,pair,Player 4 win,Player 5,,,,,pair,Player 5 win
2H,QC,10D,5C,2C,AD,1,0,KH,7S,9D,10C,6C,0,0,4S,10S,7D,4H,QH,1,0,8D,7C,5H,9C,6D,0,0,3H,5S,4C,9S,QS,0,0,AH,4D,JD,AC,9H,1,1
AS,9C,7H,JC,2C,KD,0,0,QD,3D,2H,JH,6S,0,1,9D,8H,7C,6C,JS,0,0,3S,KS,4S,6H,2S,0,0,4C,8S,AH,10S,9H,0,0,7S,3C,KC,5S,8D,0,0
7D,JD,8C,KD,7S,2D,1,0,3H,QC,8H,AS,10C,0,0,5S,6S,AD,7H,2S,0,0,5D,4D,AH,10S,9C,0,0,2C,4S,KC,4H,8S,1,1,7C,QH,KS,5H,3C,0,0
KS,6H,KH,3D,7D,10D,0,1,8C,3S,10S,QS,4S,0,0,JH,3C,KC,2C,JS,1,0,5D,4H,AH,5H,AS,2,0,7H,2D,AD,5C,QC,0,0,9S,6S,7C,3H,9C,1,0
QS,4H,AS,10S,8H,3H,0,0,7H,JS,2H,7S,6H,1,1,2S,5D,JD,KD,2D,1,0,9D,8C,3S,2C,6D,0,0,5C,KS,6C,8D,3D,0,0,AC,3C,7C,5S,6S,0,0
AD,5H,2C,5C,AC,QC,2,0,5S,KC,KH,8S,3C,0,0,10S,6C,3D,3H,JS,1,1,JC,2S,10C,8H,KD,0,0,QD,8D,4D,2H,7S,0,0,QS,4H,3S,6S,9H,0,0
6D,5D,9D,9C,2H,10S,1,0,6S,10D,JD,8D,10H,1,1,KH,KD,QD,4H,KC,0,0,2D,9S,5C,3S,4D,0,0,5H,7D,8S,10C,QC,0,0,AS,7H,6C,2S,4S,0,0
6D,3C,9C,8C,8S,2D,1,0,10C,10D,AD,AH,7C,1,1,4C,7S,AS,JC,KD,0,0,QD,QH,4H,8H,5C,1,0,5D,4D,KS,JD,QC,0,0,5H,3H,JS,KH,6S,0,0
KD,QD,AH,4C,7C,QS,1,0,8D,5C,JC,KC,8C,1,1,4S,5S,2S,2H,AS,1,0,6S,JH,9S,5H,3D,0,0,3H,KS,3S,7S,QC,1,0,10H,7D,4H,10S,7H,2,0
2D,3C,KC,6S,8S,10C,0,0,7H,5D,2S,5H,3D,1,0,3H,9H,4D,2C,AD,0,0,8H,6D,8C,KH,10H,1,1,9D,QD,QC,4S,5C,1,0,4H,AS,AH,KD,JD,1,0
6H,8C,6S,2S,AC,6C,1,0,7D,5D,AS,KC,5H,1,0,KH,10H,QH,KD,2D,0,0,QC,JH,5S,4S,9C,0,0,2H,9S,8D,7S,JD,0,0,7H,JS,7C,8S,8H,2,1
JS,10H,5S,9S,KD,10D,1,0,6D,9C,QD,8H,8D,1,0,3H,9H,JD,5C,QC,0,0,8S,3C,7H,8C,QS,1,1,7D,AD,KS,4S,AC,1,0,2C,KC,7C,AS,6S,0,0
8D,2H,3S,6C,QS,5S,0,0,KC,4H,10H,9D,9S,1,0,4S,3H,6H,4D,6S,2,1,2D,AD,JD,QD,3D,0,0,QC,8C,3C,KH,KS,0,0,6D,2S,7S,7C,AC,1,0
AC,QH,KD,10S,AD,5S,1,0,JC,9C,QS,8C,7S,0,0,9D,KH,JD,QD,6S,0,0,8S,10H,2H,AH,4D,0,0,2D,3C,9H,AS,3H,1,1,7H,2C,10D,8D,10C,1,0
AS,QD,10S,QS,3C,10C,2,0,5S,JC,10D,9C,8C,0,0,KH,7C,4S,JH,QH,0,0,8H,10H,JS,JD,6C,1,0,AH,7D,3D,9D,8S,0,0,5D,5C,4H,4C,7S,2,1
AC,8H,JD,3D,QC,AD,1,0,7H,7S,3H,2S,AH,1,0,5H,4C,AS,10S,7C,0,0,4H,6C,5D,6D,9D,1,0,9H,KS,QH,KD,7D,0,1,8C,6H,8D,QD,3C,1,0
2C,AH,JS,10S,3H,7S,0,0,8D,6C,2H,KH,JC,0,0,9S,4D,8H,6S,3S,0,1,AD,3C,KD,6H,7C,0,0,AS,5D,7H,QC,9C,0,0,5S,9H,7D,9D,QD,1,0
QH,9D,3S,5C,KD,9S,1,0,10S,QC,10H,JC,3H,1,0,AS,KC,9H,JS,KS,0,0,KH,QS,4S,JH,6S,0,0,2D,7H,2H,5H,AC,1,0,AH,2S,7C,7D,2C,2,1
10H,JC,6S,AD,7C,4D,0,0,2D,6D,9C,2S,7S,1,1,QH,4S,9H,10S,3C,0,0,10D,10C,KS,5S,4C,1,0,QC,7H,AH,6C,8D,0,0,7D,2C,3H,6H,AS,0,0
AC,QH,KC,2D,2S,8H,1,0,8S,4S,QC,10C,QS,1,0,AS,7H,9S,5S,JD,0,0,KH,KD,3D,KS,AD,0,0,3S,6H,3H,2C,6D,2,1,JH,2H,3C,JS,4H,1,0
4D,AH,AS,3H,6C,10D,1,0,6D,2C,KC,9H,QC,0,0,KH,2S,2D,8D,7D,1,0,KD,7C,3C,9D,JS,0,0,5H,7S,7H,5D,4H,2,1,4C,5C,AD,4S,QD,1,0
7S,3C,7C,QH,4S,5C,1,1,2S,JD,QC,3H,2D,1,0,2C,JC,AD,AS,9S,1,0,JH,8H,5D,AH,10D,0,0,KC,KD,QS,6S,4H,0,0,10H,5S,4C,5H,7H,1,0
4C,KH,9H,KD,6S,9D,1,0,7D,KS,QD,3C,8S,0,0,4H,7C,8H,2H,10S,0,0,10C,6D,QC,JS,6H,1,0,QH,AD,9S,4D,4S,1,0,10H,10D,8D,2C,2S,2,1
QC,AD,4S,10H,3C,KH,0,0,8D,AC,9C,AH,3D,1,1,10S,2S,6D,6C,QH,1,0,3S,5D,QS,2C,6H,0,0,KC,9D,JS,7S,7H,1,0,2H,8H,4H,5S,6S,0,0
9D,5D,9S,2S,7C,AS,1,0,8C,8H,QH,JD,AH,1,0,4D,QS,10C,6D,8S,0,1,KH,4H,QD,7H,KS,0,0,9C,3D,6C,JS,2H,0,0,5S,5C,4C,2C,10H,1,0
JC,7H,9H,QS,9C,2S,1,0,JS,6C,AD,8C,4C,0,0,4S,2C,2H,KS,JH,1,0,5S,3C,7C,QC,AS,0,1,AH,10S,8S,JD,8H,1,0,10D,4H,KC,10H,6S,1,0
QS,10H,2H,9D,8H,4D,0,0,4H,3H,JH,KS,4S,1,0,QD,2C,AS,7D,AH,1,0,JS,6C,5D,7S,7C,1,0,5C,KC,8S,9S,KD,0,1,3D,JD,6D,5H,10C,0,0
QS,JD,QC,3S,6H,AS,1,0,10D,JH,6D,4C,AH,0,0,8S,KC,2S,2H,2D,1,1,7D,5D,KD,JS,QD,0,0,10C,9C,4H,9S,4D,2,0,9H,2C,7H,10H,6C,0,0
5H,6S,9D,2D,KH,9H,1,0,7H,5C,JS,JD,JC,1,0,4H,9S,7D,5D,7C,1,0,3C,3S,AH,JH,KC,1,1,4D,AD,8C,2C,10C,0,0,4C,2S,7S,6H,QD,0,0
8C,10S,5S,2D,KH,3D,0,0,4H,AH,6S,AS,10C,1,1,5C,3H,6D,7S,4C,0,0,KD,2H,7H,QD,6C,0,0,QS,AD,5H,7D,9H,0,0,10D,KS,6H,8H,3C,0,0
KH,6H,9D,7D,AC,6C,1,1,8S,10D,QH,10H,8D,2,0,2C,10C,2S,5C,6D,1,0,9S,5S,2H,JH,KC,0,0,3C,JC,QC,7H,6S,0,0,4C,2D,4D,KD,QS,1,0
AC,9D,QC,5D,KD,8D,0,1,6D,4D,9C,5S,2D,0,0,5C,8H,JS,KH,JH,1,0,2C,2H,JD,7H,2S,1,0,3C,AD,QH,6S,4C,0,0,3S,3H,10S,10H,6C,2,0
AD,6H,8H,2S,7D,6S,1,0,7C,6C,QD,4D,QH,1,1,4S,JC,6D,7S,8S,0,0,JS,9C,10C,KC,JH,1,0,5H,7H,KD,9D,2D,0,0,10S,JD,QS,8C,10D,1,0
7S,4C,4S,3D,JD,8D,1,0,JC,KC,KH,KS,8C,0,0,7H,9C,10H,JH,3H,0,0,4D,5H,6H,7C,4H,1,0,7D,6S,6D,QD,2H,1,0,AH,3S,9H,8H,9D,1,1
6H,8S,JS,10H,2D,JC,1,1,3S,7S,7C,9H,3C,2,0,5C,6S,KD,QC,5D,1,0,3H,3D,QD,AH,8H,1,0,4D,2C,JH,AS,10S,0,0,7H,9D,QS,8D,JD,0,0
JD,8H,3D,6C,3H,6S,2,1,5S,8C,7C,9D,9H,1,0,3S,8D,KD,2D,9C,0,0,3C,QH,10D,7H,KS,0,0,7S,JS,AS,10S,4D,0,0,KC,JH,AH,4H,4C,1,0
9D,9S,KC,KH,7C,9H,1,1,4S,3D,AD,2H,4C,1,0,4D,7D,6H,2C,AS,0,0,QD,KS,8C,8D,10H,1,0,6D,3S,5D,8S,10C,0,0,2D,3H,7S,AH,2S,1,0
7D,7S,6D,QC,KH,QS,2,0,JH,3S,5H,5D,QH,1,0,QD,8D,JD,4H,KC,0,0,4C,AH,10D,8S,KD,0,0,2H,7C,4D,KS,9H,0,1,6S,9S,3D,7H,3C,1,0
9C,7H,5H,9H,JH,6H,1,0,JD,5D,2S,QC,QH,1,0,KH,QS,6S,KD,4H,0,1,7S,4D,2H,2C,10D,1,0,AD,JC,10C,3S,8H,0,0,10S,AS,9S,8D,JS,0,0
AS,10C,5D,7S,4S,4C,1,0,QS,6D,3D,6C,3S,2,1,QC,5S,2S,9D,4H,0,0,6S,AD,QD,JH,3C,0,0,KD,10H,JS,7D,8D,0,0,6H,3H,9S,4D,7C,0,0
4H,JC,3D,9C,3S,6D,1,0,5H,JS,7C,10H,JD,1,0,2D,7H,KC,KH,6H,0,1,10S,QC,AS,7S,4C,0,0,4D,JH,2H,7D,AD,0,0,8C,2C,8S,9H,KD,1,0
3H,AH,9H,8C,7C,3C,1,0,9S,5H,3D,QD,5S,1,0,8H,8S,KC,4H,JS,1,0,2D,6S,JD,9C,7H,0,0,4D,5D,4S,2C,5C,2,1,AD,10D,10C,6H,8D,1,0
6S,QC,QD,8C,3S,2H,1,0,6D,9D,7D,10H,KD,0,0,JC,6C,6H,JH,10C,2,1,10D,8H,5H,JS,KC,0,0,3D,8S,9S,AH,8D,1,0,7S,7H,4C,2C,3H,1,0
10H,4C,KS,4S,JD,6D,1,1,4D,8C,AS,QD,5S,0,0,6C,7H,8S,JS,KD,0,0,JH,KH,AD,QC,AH,1,0,9H,2H,7D,5C,5H,1,0,10S,KC,QS,4H,10D,1,0
QC,8C,10S,KC,2H,KD,0,0,10C,6D,QS,10D,9H,1,1,6C,7S,8H,6H,8S,2,0,AC,AS,KH,4D,10H,1,0,4C,7C,JC,4S,5H,1,0,6S,4H,KS,2C,9S,0,0
9H,AD,8D,5C,JS,2S,0,0,QC,4D,KD,10S,2H,0,0,KS,10D,QS,7D,QD,1,0,8H,5H,9C,JC,QH,0,0,9S,6H,3H,6D,6S,1,1,AS,AC,4S,6C,KC,1,0
QC,KH,5D,10S,4S,7C,0,0,AD,3H,3D,5H,8D,1,0,7S,5S,2C,7H,8S,1,0,10H,JC,JD,9S,10D,2,1,QH,AC,AS,4H,QD,2,0,2D,2H,3S,AH,9D,1,0
9C,8H,9D,9S,AC,7C,1,0,4D,JH,3H,6D,6H,1,0,2D,2C,5C,KC,KS,1,0,7H,7D,6C,8C,6S,2,1,10H,KH,JC,QH,JS,1,0,10C,4C,9H,AS,10D,1,0
QH,3S,2C,10S,2D,AC,1,0,2S,6S,10C,10H,KC,1,0,4H,8H,3D,2H,3C,1,1,7H,5S,9H,5D,JS,1,0,6H,10D,4S,8S,QC,0,0,6D,9C,QS,KD,3H,0,0
10H,7H,JH,5H,AD,2C,0,0,KD,KS,QS,5S,KC,0,0,3D,4H,7S,7D,8S,1,1,QC,6H,5D,10S,AC,0,0,JS,2S,4C,8H,AS,0,0,2D,9D,QH,KH,4S,0,0
QH,8H,KC,2H,QC,6H,1,0,7S,4C,5H,7D,10S,1,1,7C,3C,JD,KH,6C,0,0,9S,10C,3D,9D,2D,1,0,QS,3H,6D,KD,7H,0,0,5D,10H,9C,JC,AD,0,0
JH,AH,5S,3H,9C,QC,0,0,3C,7S,10S,7H,3D,2,1,4C,8S,8H,KD,5D,1,0,4D,5H,9S,5C,10H,1,0,KH,QH,4S,6D,9H,0,0,6H,9D,2D,QS,KC,0,0
10H,4C,7H,9S,8C,6C,0,0,2C,9C,5H,AD,AS,1,0,JH,KS,3H,6S,JD,1,0,QS,AC,9H,2H,5D,0,0,3C,KD,7C,JS,3S,1,0,10S,9D,8H,4H,2D,0,1
2S,10D,JC,4H,9D,3S,0,0,2C,8D,6C,9C,9H,1,1,2H,10C,QC,3H,4D,0,0,7H,5D,10H,8S,AC,0,0,6D,3C,7D,4S,QD,0,0,QH,JS,KC,KS,7C,0,0
6S,KC,8C,9D,10D,JD,0,0,7H,2H,9C,5C,10H,0,0,KS,KD,AD,10C,KH,0,0,5D,8H,2C,3D,4S,0,0,JS,7S,AS,7C,10S,1,1,8S,6C,2S,QC,QH,1,0
AD,8S,6D,QH,AC,9H,1,0,4H,3S,3C,KC,2S,1,1,KH,6S,KD,10S,JH,0,0,JS,2H,9C,4D,AS,0,0,9S,8D,6C,5D,3D,0,0,10D,10H,KS,2C,3H,1,0
JH,7H,10C,10D,AS,10H,1,0,7C,9C,5D,6S,JC,0,0,2D,QS,3C,KD,6D,0,0,KH,4D,JD,6H,2C,0,0,8C,2S,3H,2H,AH,1,0,4S,QH,QC,6C,10S,1,1
8C,QS,KH,QD,7H,8D,2,0,10C,2S,5S,3S,JH,0,0,8H,4S,5H,4C,6C,1,0,6D,10H,KD,AC,KC,0,0,7D,QH,JC,QC,AH,1,0,9S,3C,2H,3H,8S,1,1
4H,10D,9H,5D,7S,9C,1,0,3H,3D,9D,4S,8S,1,0,5C,QS,JH,6C,2C,0,0,QD,QC,6H,JD,8C,1,1,KS,7D,10S,8H,7C,1,0,9S,4C,4D,2S,5H,1,0
4C,2C,2H,6C,4S,QH,2,0,3D,5S,10D,KD,8S,0,0,7H,5D,9S,7S,AH,1,0,JH,5H,JC,KS,6H,1,1,8H,JD,KC,7C,10S,0,0,10C,4H,QD,AC,2S,0,0
7H,10C,9C,8D,2S,7D,1,0,2C,AD,3D,3C,6C,1,0,5H,3H,7C,8C,KC,0,0,4D,10S,6S,3S,8H,0,0,QS,5C,JH,2H,6D,0,1,5S,7S,9S,QD,KD,0,0
9S,5S,5H,2C,JS,4H,1,0,4C,2S,6C,10C,6D,1,1,QS,KS,5C,3H,9D,0,0,3S,2H,9H,5D,8D,0,0,10H,8H,7H,7D,JH,1,0,3C,AS,4S,8C,KC,0,0
6D,QH,JC,4S,QS,9H,1,0,6H,5H,2S,8S,10H,0,0,7H,KH,JD,9C,5D,0,1,4H,8H,2H,AS,JH,0,0,3S,8D,AC,AH,3D,2,0,10C,5C,10D,7D,9S,1,0
QD,JH,JC,8D,10H,AD,1,0,9H,5S,JS,9D,3S,1,1,7D,6S,6C,2S,10C,1,0,4S,AS,8C,3C,5D,0,0,10D,4D,3D,6H,KH,0,0,10S,5H,8S,8H,7S,1,0
QC,4S,7D,JH,KC,9S,0,0,KH,9C,AH,9H,3C,1,0,6D,6C,JD,JS,7C,2,1,6S,QS,3D,5S,JC,0,0,QH,KS,6H,2D,KD,0,0,AC,10S,9D,10C,7H,1,0
2H,QD,10S,AH,3S,9H,0,0,7S,8C,6C,2C,5H,0,0,4D,7C,2S,AD,2D,1,0,8D,5D,8S,7H,KD,1,1,JS,3H,AS,3C,JD,2,0,4C,10H,3D,8H,QH,0,0
3D,AH,6D,JS,3S,8D,1,1,4D,4C,7D,5C,2D,1,0,QH,9H,7C,4S,5S,0,0,8S,2H,10C,5D,2S,1,0,3H,KD,8C,JH,4H,0,0,KC,KS,6S,QD,10H,0,0
AH,6D,10D,3D,QH,JS,0,0,8D,2S,5D,5C,6H,1,0,4D,10S,5H,7S,9H,0,0,JC,8H,JH,9C,2D,1,0,KS,AC,6S,KD,3C,0,1,3S,7C,10H,2H,QC,0,0
9D,5S,AS,QC,8H,9C,1,0,7H,10D,AD,10C,JH,1,0,9H,9S,AH,5H,2H,1,0,10S,3S,KD,3H,QD,1,1,8D,2C,2S,6H,4D,1,0,4C,8C,4S,QS,5C,1,0
3H,9D,8C,6C,4S,AH,0,0,4H,5S,10D,AC,5D,1,0,9S,JD,10C,KH,KC,0,0,6S,10S,10H,5C,3S,1,0,JS,6H,6D,9C,2C,1,0,7S,JH,QD,KS,3C,0,1
7S,4D,JS,8C,6D,JD,1,0,KD,JC,QD,7D,QC,1,1,10C,3S,2S,5D,9C,0,0,4H,4S,7H,QS,3H,1,0,KC,8D,3C,9H,9D,1,0,6C,8H,10H,8S,AS,1,0
8D,9C,5H,3C,AD,JH,0,0,AC,8C,3S,9D,7S,0,0,10H,2S,10S,QC,2D,2,0,3D,4S,7D,JS,7C,1,0,JC,KH,6S,QH,4D,0,0,KS,5D,QD,QS,KD,1,1
7C,JC,KH,3S,QS,KD,0,0,8C,3H,10H,4D,2H,0,0,4S,6C,6S,JD,9H,1,0,10D,7S,KC,JH,AC,0,0,2D,6H,5H,5S,8H,1,1,2S,6D,AH,8S,10S,0,0
3D,JH,3S,KC,6D,10H,1,0,9C,7D,2S,JC,6H,0,0,QS,6S,KH,2D,KD,0,1,4C,4S,5H,8D,AD,1,0,8C,5S,3H,9D,7S,0,0,10C,QD,JS,5D,8H,0,0
9C,QC,10H,9H,7C,4C,1,0,2C,8D,KD,4D,7H,0,0,QD,KS,QH,10D,AS,1,0,JH,2D,6H,3C,10S,0,0,5H,JS,4H,5S,5C,1,0,10C,8H,5D,8C,KH,1,1
2H,9D,7H,AC,7C,8C,1,0,QC,3D,4S,10S,JS,0,0,AS,10D,QH,QS,JC,1,1,9C,5S,6S,KH,10C,0,0,JH,5C,3H,5H,KC,1,0,QD,9H,8D,4D,4H,1,0
9C,8D,8S,QH,7S,6S,1,0,10S,8H,3D,AD,QD,0,0,JH,KH,3S,6C,7C,0,0,3H,JC,AH,8C,7D,0,0,5S,2H,9S,5D,AS,1,1,10H,AC,3C,2S,4H,0,0
2D,3D,JH,4D,QD,4H,1,0,QH,4C,9H,AC,10S,0,0,10C,2H,8H,7H,6C,0,0,9C,JC,5D,KD,JD,1,0,4S,10D,10H,5H,9S,1,1,AH,8S,3H,6S,KS,0,0
3S,AC,AD,5C,4D,JC,1,0,QD,6H,8S,KC,4H,0,0,4S,7D,2H,6S,2C,1,1,4C,3D,6C,9C,5H,0,0,JD,KH,7H,10C,10D,1,0,10H,QC,JH,3H,2D,0,0
10D,3S,JC,2D,JD,5C,1,0,7C,QC,8H,7H,AS,1,0,5S,AC,8D,JH,7S,0,0,JS,AD,KD,9H,2H,0,1,2C,10S,4C,AH,6C,0,0,KC,6S,6D,5D,4D,1,0
10H,3S,10D,KC,8D,KD,1,0,QS,AH,8H,8C,5S,1,0,7S,AC,9C,2D,JS,0,0,5D,6S,7D,6D,QD,1,0,4C,5H,2H,3D,4D,1,1,6H,7H,9D,JH,AD,0,0
4D,6C,8D,8C,QH,6S,2,0,AD,7C,QC,AH,2S,1,0,4C,JC,8H,KD,2H,0,0,KC,9H,9D,3D,10S,1,0,2C,KH,JH,10D,JD,1,1,8S,3S,AS,5D,5H,1,0
3D,7H,KD,6S,5H,9H,0,0,JS,4C,5D,10D,JH,1,0,5C,8D,10C,8H,6H,1,0,3S,QC,9D,AD,4D,0,0,6C,3H,QS,QD,JC,1,0,7S,4H,AH,2H,2D,1,1
10S,10C,3C,6S,7D,10H,1,0,8S,2H,KC,8C,KD,1,1,QD,9C,7S,QH,4C,1,0,KH,4S,4D,AD,7H,1,0,9D,6H,KS,3H,7C,0,0,JD,JC,2C,2S,5D,2,0
3D,KH,4D,7D,6D,2C,0,0,10C,8D,AD,4C,QC,0,0,QD,5S,8H,KC,3S,0,0,6H,5C,10H,KD,JS,0,0,9H,AH,QH,8C,5H,0,0,2H,10S,JC,2S,7S,1,1
7D,AH,QH,8S,4H,KS,0,0,JC,10D,3H,2H,9D,0,0,4S,7S,6S,5S,KD,0,1,2C,KC,JS,4C,7H,0,0,9H,5C,9C,4D,QD,1,0,AD,QS,2D,5D,10H,0,0
10D,4S,7H,5D,2S,10H,1,0,8C,QD,QS,3S,5H,1,1,QC,7C,AH,8H,7D,1,0,KD,JD,AD,8D,8S,1,0,4H,2C,2D,9S,10S,1,0,7S,2H,KH,JC,JH,1,0
KC,10C,AH,3S,2S,JH,0,0,8D,6C,AD,4C,AC,1,0,5S,10S,2H,3C,4S,0,0,JS,3D,7D,10D,8H,0,0,2D,4H,5H,9C,JD,0,0,8S,5C,JC,9D,8C,1,1
10S,6S,8H,5C,AH,7C,0,0,2S,9S,JH,4C,9C,1,1,10D,6C,3D,KH,9D,0,0,7D,3S,4S,2D,JD,0,0,QH,7H,8C,5S,5H,1,0,QD,7S,JS,QC,KD,1,0
5H,3S,7C,KC,7S,5C,2,0,4D,QH,6C,2C,JH,0,0,KS,AS,2D,9H,8S,0,1,8C,6D,AD,5D,4S,0,0,KH,6H,QD,JC,9C,0,0,10D,AH,QC,3C,10C,1,0
9S,8C,5S,AD,KD,2D,0,0,9D,JS,7C,2S,6S,0,1,3S,AC,4H,9H,JH,0,0,7S,3H,AS,6C,KS,0,0,AH,10C,6H,QS,2C,0,0,QD,KC,3D,10D,5D,0,0
KS,7H,4H,3D,10C,JH,0,0,6D,9C,10D,7S,3C,0,0,KD,KC,2S,3S,10H,0,0,8H,KH,AS,5C,5D,1,0,5H,JC,6C,7D,5S,1,1,AH,QC,4D,9S,10S,0,0
3D,KH,3C,5S,QS,6D,1,0,JH,8H,8D,9D,4D,1,0,5H,4C,2H,7H,AS,0,1,2S,8S,10H,7D,9S,0,0,6S,5C,3S,3H,9H,1,0,JD,QD,AH,10C,JC,1,0
6H,QD,KC,AC,3H,3C,1,0,JS,4H,4C,JH,QS,2,0,8D,8S,JD,4D,5S,1,0,9C,5C,10S,5D,7D,1,0,6D,8H,8C,10H,AD,1,1,AH,2D,4S,9D,2S,1,0
3D,QH,5C,KS,7S,AD,0,0,9D,10H,4S,KC,2C,0,0,3C,7D,10D,5H,2H,0,0,JH,6D,5D,10C,8C,0,0,AC,7H,JS,9S,6S,0,1,JD,3S,4D,2D,QS,0,0
6H,JS,3D,8S,4D,7S,0,0,AD,8H,5H,10D,9H,0,0,JH,3C,8C,JD,3H,2,1,AH,3S,6S,AC,JC,1,0,2S,KD,2D,10S,5C,1,0,9S,5S,6C,QS,QC,1,0
5H,QC,AC,6S,JS,AH,1,0,8D,7D,KS,5D,7C,1,1,QH,9D,KD,10S,AS,0,0,8S,9S,10D,4D,2D,0,0,5C,2S,QD,QS,6D,1,0,8H,9C,6H,4S,2C,0,0
QH,9D,5C,QS,6D,AD,1,0,10H,7H,4C,10S,8H,1,0,AH,6S,QD,2D,2S,1,1,4S,8C,JH,KD,KS,0,0,8S,9H,7S,AC,3D,0,0,9C,2H,KC,7D,3H,0,0
JH,5S,3C,9H,AH,9C,1,0,9S,10C,QC,AC,KC,0,0,10D,3D,QD,4S,JS,0,1,5H,2S,8H,QH,8S,1,0,7C,KD,2H,2D,9D,1,0,8C,7D,3H,4D,KH,0,0
KS,9C,10H,3C,6D,7S,0,0,KC,7C,2D,6S,QS,0,0,6H,3H,JD,10S,4C,0,0,9S,2C,JC,AH,8D,0,0,5S,JS,8S,4S,7D,0,1,7H,6C,KD,5C,10D,0,0
9H,3D,10H,8S,JS,4S,0,0,8D,10S,7C,2H,10C,1,0,3C,7D,2D,JH,KS,0,0,7H,5H,5D,6C,2S,1,1,KD,10D,KH,9C,6H,0,0,8C,7S,3H,AH,8H,1,0
