Player 0,,,,,,pair,Player 0 win,Player 1,,,,,pair,Player 1 win,Player 2,,,,,pair,Player 2 win,Player 3,,,,,pair,Player 3 win,Player 4,,,,,pair,Player 4 win,Player 5,,,,,pair,Player 5 win
4C,QC,2D,KH,6C,4D,1,0,KD,3D,4S,7D,10S,0,0,AD,5C,6S,5H,9C,1,0,3S,3C,8S,2S,10C,1,0,KS,9S,4H,JD,10D,0,0,7C,JH,QD,8D,AC,0,1
QH,7D,4D,9H,KD,10S,0,0,QD,AD,JD,2D,5D,0,0,4C,8D,3C,8H,2H,1,1,2C,QS,JS,QC,8C,1,0,10C,AC,JC,3S,9D,0,0,5S,KH,3H,9S,5H,1,0
5D,6H,JS,8D,7C,6S,1,0,AS,QD,4D,QS,10S,1,1,KS,2H,6D,KD,AD,0,0,2C,3H,9H,9S,3D,2,0,9C,2D,10D,5H,7S,0,0,KH,10H,8C,2S,4S,0,0
6S,AH,5C,9C,8D,9H,1,0,9D,8C,7H,AS,5H,0,1,3S,QD,KH,2H,5D,0,0,4H,4D,7D,2D,3C,1,0,AD,QS,JS,QC,KS,1,0,JH,10H,QH,10C,8S,1,0
QS,2D,5H,9D,2S,AH,1,0,QH,7S,10S,9H,6S,0,0,5C,4S,7C,7H,KC,1,0,4H,3C,8D,6D,2C,0,0,JH,JD,7D,KS,6C,1,1,9S,10D,QD,KH,8H,0,0
2S,8C,4C,KD,KC,10S,0,0,JD,QD,2H,7S,QS,1,1,AS,4S,3C,3D,10C,1,0,9H,JS,5C,3S,6H,0,0,7D,8D,6D,QC,7C,1,0,6C,5S,7H,9S,8S,0,0
2S,6D,4C,KC,3C,9S,0,0,JD,3H,7C,QC,KS,0,0,4H,JC,2D,5D,3S,0,0,7D,6C,6H,JH,9D,1,1,7H,5C,9H,8D,10C,0,0,6S,AD,5H,8S,4D,0,0
5C,JD,KD,7H,6H,QD,0,0,7S,2C,4H,2S,9S,1,1,4S,2H,6C,10S,KS,0,0,KH,3D,6S,10C,AC,0,0,AD,JH,10H,5H,5D,1,0,9C,AS,KC,8S,3S,0,0
JD,5C,JH,9H,10D,JC,1,0,KS,AD,5D,10C,KD,0,1,10H,4C,6S,3S,5S,0,0,7S,2C,8H,QC,6D,0,0,AC,3D,7D,KH,8D,0,0,7C,6C,JS,4S,8C,0,0
QD,2S,7S,KS,6C,4S,0,0,8S,JD,6D,4H,7C,0,0,4C,3C,KC,10H,AC,0,0,3H,5D,5C,QH,9H,1,1,JH,8D,8H,2D,AD,1,0,10C,QS,5S,JS,10D,1,0
7D,4S,5C,9S,6D,7H,1,0,QH,4H,KS,10C,9H,0,0,AS,6C,2D,5S,8C,0,1,8H,QC,JH,QS,9C,1,0,3S,7S,AH,2H,JD,0,0,4C,KD,3D,2S,6H,0,0
8S,AH,JH,10D,6C,4S,0,0,3D,KD,6H,9D,4D,0,0,JC,QD,5S,3S,7C,0,0,KS,7S,KC,8H,5C,0,0,7D,5D,2C,AC,9S,0,1,QH,7H,9H,6D,QS,1,0
9C,JC,4S,7C,2S,2H,1,0,8S,AD,7H,5S,10C,0,0,6C,3C,4D,9H,5C,0,0,2D,6H,3D,AS,9D,0,0,4C,10D,KS,5H,7D,0,0,JD,3H,8H,8D,JH,2,1
3H,AC,5D,9H,KS,QS,0,0,JD,10D,6C,KH,3S,0,0,5S,7C,9D,KC,QC,0,0,AS,10H,5C,8C,10C,1,0,7H,2H,2S,10S,4C,1,1,JH,8D,AD,2C,2D,1,0
KS,AH,3H,AS,9D,2D,1,0,4S,8D,8C,9H,6H,1,0,4C,10D,AC,7D,2H,0,1,2S,8S,3S,5D,9C,0,0,JC,QD,QC,3C,7H,1,0,KH,9S,QS,7C,2C,0,0
9H,7C,3C,7D,5H,10S,1,0,9C,4D,10C,JD,10D,1,0,6H,5S,3H,7H,2D,0,0,9S,JH,6C,AC,JS,1,0,4H,6S,3D,8H,QD,0,0,KS,AD,QH,5D,8C,0,1
QS,3S,AC,2H,8D,3H,1,0,10H,3C,8S,10C,7C,1,0,9D,KS,QH,4S,2C,0,1,6D,KC,AH,KH,3D,0,0,9C,6C,AD,8C,6S,1,0,JH,7H,10D,2S,QD,0,0
AD,KD,QH,3D,8S,KH,0,0,9D,8H,5S,KC,2H,0,0,JD,KS,6H,AH,4C,0,1,5C,7D,6D,6S,QC,1,0,4D,8D,2S,JH,2D,1,0,9S,4H,5H,9H,10S,1,0
7H,AS,7C,8C,5D,3C,1,1,10D,8D,4S,QC,10H,1,0,KC,6S,AC,2S,QH,0,0,2D,9D,8S,AH,5H,0,0,JS,4D,7S,6H,QD,0,0,5S,JH,KD,KS,7D,0,0
8S,3C,2D,6H,JD,6D,1,0,QD,5C,9C,JC,9D,1,0,AD,3S,AS,7D,5H,1,0,3H,2H,9H,10S,KC,0,0,4C,4S,9S,AH,4H,1,1,JH,JS,QC,10H,7S,1,0
9C,QC,KC,9D,3C,8C,1,0,AH,3S,9S,5D,7S,0,0,5C,7C,7H,AC,4S,1,0,10C,9H,KD,2H,10D,1,0,AS,6H,JS,JC,4C,1,0,2D,2C,JH,8D,8S,2,1
9C,2D,8S,4H,3D,QD,0,0,9D,6C,5D,4D,KH,0,0,9H,QS,6H,2C,3C,0,0,8C,KD,KS,2S,QH,0,0,6S,9S,4S,10H,4C,1,1,8H,7H,6D,3S,7D,1,0
6C,10S,3S,AS,JD,7S,0,0,6H,3H,QD,4H,6D,1,0,10H,5C,KS,QH,JC,0,0,JH,AH,8S,KD,9H,0,1,8C,QS,KC,2D,JS,0,0,AD,9C,3C,2S,8D,0,0
2H,JC,6C,7C,10H,3H,0,0,9S,10C,5H,JS,8C,0,0,9D,8S,3D,3C,5D,1,0,KH,4H,KC,7S,JH,0,0,8D,QS,7D,5S,QC,1,1,10S,AH,2S,4D,7H,0,0
2C,4H,3H,4D,KD,JD,1,0,8D,5H,8C,10C,AS,1,0,KS,7S,JS,9C,2H,0,0,3C,QC,3S,6C,2S,1,1,9S,5D,8S,6S,9H,1,0,6H,JH,AH,QH,JC,1,0
KS,QD,9C,AS,3H,10H,0,0,6D,KC,4H,8H,7H,0,0,KD,5C,3S,2C,9H,0,0,7D,AC,6S,AD,6C,2,1,8C,7S,KH,2H,JD,0,0,QH,8S,JC,4S,10D,0,0
QS,10C,10S,JS,5C,9H,1,0,AD,5S,9S,QD,8H,0,1,QH,KS,JH,2S,5D,0,0,9D,2H,AC,5H,KC,0,0,JC,3H,6C,4C,AH,0,0,10H,2D,6D,4H,6S,1,0
JD,KD,7D,AS,8H,5D,0,0,4S,6D,3D,2C,7C,0,0,6H,7H,5S,8C,2D,0,0,QC,3H,8D,2H,9H,0,1,5C,10C,4D,JH,6S,0,0,5H,QS,KS,8S,9S,0,0
KC,10D,2D,5S,4C,4H,1,0,10S,KD,QH,8S,5H,0,0,7C,AH,QS,AS,7H,2,0,AD,9S,6D,4D,9C,1,0,KH,JH,4S,3S,3H,1,0,6C,8D,7D,8C,7S,2,1
KH,8C,7H,3D,8S,JH,1,0,5H,KS,QC,QS,8D,1,0,2H,9S,KC,9C,AH,1,0,2D,6S,7D,4D,9H,0,0,JC,QH,JD,3S,9D,1,1,AC,AD,7S,4H,7C,2,0
JD,3S,JC,6H,2S,QS,1,0,8D,JH,10S,6C,4H,0,0,KS,3H,5C,8H,4D,0,0,3D,8C,AC,QH,8S,1,0,AH,7S,5H,10D,AS,1,1,2D,4C,AD,9C,QC,0,0
5S,8S,7C,7H,QH,KS,1,0,4D,7D,QD,JS,2D,0,0,10C,KC,2C,AC,7S,0,1,9C,4S,6D,4C,3D,1,0,9S,JD,KD,5D,AH,0,0,10H,AS,8H,3S,9H,0,0
6H,JD,8H,5C,3D,3C,1,0,9C,10C,9H,2H,2D,2,0,2C,9D,QH,QS,KS,1,0,AS,7C,QD,3H,KD,0,0,10S,AC,QC,10H,7D,1,0,4C,4S,AH,KH,5H,1,1
6D,4H,4S,10S,AS,9S,1,0,AC,3H,KS,9C,6C,0,0,QH,AH,10H,2H,JS,0,0,QS,8S,6H,7D,5C,0,0,7H,3S,9D,3C,KH,1,0,2S,2C,8C,6S,AD,1,1
10H,3D,2S,QC,3S,7H,1,1,JD,8C,JS,JH,10D,1,0,6S,8D,7D,10S,AH,0,0,5C,KS,3H,9S,KC,0,0,AS,5S,QH,9D,AC,1,0,QS,4C,2H,6C,4D,1,0
JS,2C,9C,QH,KS,7S,0,0,KC,3D,4H,5C,6H,0,0,9S,6D,7H,QC,8C,0,0,AD,7D,9H,KD,AC,1,0,10H,3S,4C,3C,2D,1,0,5H,6S,2S,3H,6C,1,1
KC,9H,QC,7S,9C,2D,1,1,QD,AS,AD,5D,3C,1,0,5C,4C,KH,JH,4H,1,0,10D,8H,8C,QH,QS,2,0,7D,6S,KD,3H,4S,0,0,10C,3D,7H,AH,7C,1,0
7D,2C,7C,8D,5C,7H,1,0,2H,5S,4D,9H,KD,0,0,8C,QS,7S,9S,10D,0,0,2S,4C,6C,3H,9C,0,0,2D,JS,JD,QC,5D,1,0,4S,JC,4H,AD,5H,1,1
10S,8H,6S,JD,10D,4S,1,0,5C,7C,2S,7H,AS,1,0,8S,JC,KD,3D,2C,0,0,7D,8D,9C,5D,9S,1,1,JS,2H,2D,QS,AC,1,0,KC,7S,4H,5S,3C,0,0
9H,10H,10D,3C,4S,10S,1,0,QC,8D,7C,5H,5C,1,0,3D,JC,9S,7H,AH,0,0,7S,AS,6D,2C,4H,0,0,AC,10C,4D,JH,6S,0,1,6C,QS,7D,KH,6H,1,0
7D,KS,6S,KH,AD,7S,1,0,4S,10H,AS,5S,7H,0,0,10S,8D,3D,7C,6D,0,0,9H,4D,QC,2D,8H,0,1,QS,4H,2S,6C,3S,0,0,2C,6H,9S,5C,QH,0,0
KH,10D,6D,4H,10C,8H,1,1,JH,7D,3H,5C,9C,0,0,7S,5D,6S,KS,9D,0,0,2C,10S,8C,6C,4C,0,0,3D,10H,AH,AC,4S,1,0,5H,5S,2S,2D,3S,2,0
10S,4D,9D,5S,3D,QH,0,0,9S,3C,2H,QD,AC,0,0,2S,5D,QC,AH,7H,0,1,4C,8S,6H,JD,3H,0,0,8C,9H,6S,JC,KS,0,0,9C,7C,JH,3S,KD,0,0
7D,9S,JH,QD,8S,5H,0,0,AS,2D,KS,KH,10D,0,0,3H,4D,6S,2H,4S,1,0,9C,10S,9H,4C,7H,1,0,8H,KD,6C,9D,5C,0,0,KC,QS,3D,JC,3S,1,1
7S,4S,9D,4C,6D,10S,1,0,3C,2S,8D,5D,KC,0,1,AS,3H,9H,2D,JH,0,0,KD,7H,10C,5C,AC,0,0,JC,8C,10H,9C,7C,0,0,4H,7D,6C,6H,4D,2,0
10C,7S,QC,9C,QH,KH,1,0,2D,3C,3S,KD,AS,1,0,3H,JD,8S,QS,6H,0,0,AH,4D,2S,5S,AD,1,0,JC,4H,QD,9H,9S,1,0,KC,8D,JH,7D,8C,1,1
2S,3S,10D,AS,QD,7D,0,0,8D,4D,4C,9D,AH,1,0,6H,QC,2H,QH,JS,1,0,KD,9H,6D,7C,7S,1,0,10H,9C,QS,6C,3C,0,0,9S,KC,8C,4S,JC,0,1
3D,5D,10S,8H,QH,9D,0,0,KC,7D,4C,JS,AD,0,0,10H,6D,4H,4D,QS,1,1,7H,5C,8C,9C,6C,0,0,6H,KH,2S,AH,AS,1,0,3C,QD,6S,KS,2H,0,0
3C,10D,7S,8H,3D,2D,1,1,6C,10H,4D,2S,3H,0,0,KS,7D,KH,KD,9H,0,0,9C,QS,AC,2H,5S,0,0,2C,6D,9S,8S,7C,0,0,6S,5D,4H,8D,10S,0,0
8H,10C,AC,QC,JD,QD,1,1,9S,7D,KC,5C,7H,1,0,QS,JS,3D,5D,KH,0,0,3C,6D,2H,3H,9C,1,0,6H,8S,7C,4H,KS,0,0,JC,8D,6C,AD,9H,0,0
KD,QS,10C,5S,7H,7S,1,0,QD,3C,3D,2D,AD,1,0,6D,AS,2H,4C,10D,0,0,10S,3S,4D,5C,9S,0,0,8S,KH,JC,5D,8C,1,0,9C,3H,6H,4S,AH,0,1
QH,3C,5C,JH,3D,5S,2,1,JC,AD,QD,6S,9C,0,0,7S,3S,4S,QS,10H,0,0,KC,2S,KS,KH,7H,0,0,8S,9S,QC,2C,KD,0,0,2H,AH,9H,7D,6H,0,0
9C,JD,7D,JH,QD,10C,1,0,JC,10D,8D,10H,9D,1,0,2H,9S,AS,3H,KS,0,0,QS,8S,8C,AC,KD,1,1,5C,4C,6S,3C,3S,1,0,KC,7H,KH,2S,6C,0,0
5D,7H,10C,3S,JH,8S,0,0,10S,6C,AD,6H,4D,1,0,5S,5H,8H,8D,2S,2,0,3C,3D,2D,7D,9C,1,0,4S,4C,KC,3H,JS,1,0,QC,JD,JC,4H,KS,1,1
7C,9S,9D,JH,2H,6C,1,0,4H,9C,10S,5S,4S,1,0,3S,QS,QH,QD,JC,1,1,JD,7D,5D,QC,2D,0,0,5C,8H,KD,6D,AH,0,0,3H,KC,10C,7S,7H,1,0
9S,7C,5D,8D,3H,4C,0,0,KC,2H,6S,3C,JS,0,0,JC,AH,2C,10D,JD,1,0,5C,QH,AC,KD,2D,0,1,7S,6C,2S,QD,KH,0,0,7H,9D,6D,10H,4S,0,0
7C,5H,AC,5S,8S,6C,1,0,2D,QC,4D,KD,JS,0,0,9C,2S,4S,9H,10H,1,1,8D,6H,5D,10D,4C,0,0,2H,2C,AS,QS,3H,1,0,6S,9D,3S,JH,7D,0,0
QH,KC,KH,6S,JS,6H,1,1,2C,2S,4H,2D,9S,1,0,4S,10C,10D,JH,5S,1,0,QC,6D,10S,5H,AS,0,0,2H,6C,7C,7D,8S,1,0,3C,7S,3H,4D,AD,1,0
3C,6H,7D,7C,9H,9C,2,1,8D,7H,5S,AD,5D,1,0,6D,KD,2S,9D,4D,0,0,AC,9S,6C,5H,10C,0,0,JS,3H,10D,4H,JH,1,0,2H,KH,5C,QH,10H,0,0
2S,5D,2C,9C,4H,QD,1,0,7H,9S,7D,2H,8H,1,0,2D,6D,KH,AS,3S,0,0,7S,6C,10D,AC,JH,0,1,8D,5C,4C,3C,4D,1,0,10H,4S,6H,JS,3H,0,0
QD,6D,4D,2C,KH,4S,1,1,10H,QC,AD,QS,5H,1,0,AH,JC,2D,9S,5S,0,0,4H,9H,3C,5D,6H,0,0,8S,6C,8H,10D,7C,1,0,QH,4C,JH,3D,2H,0,0
6D,3H,6C,2C,10S,QC,1,1,KS,JC,AC,6S,7C,0,0,KH,3D,7S,9C,6H,0,0,QS,4C,4H,JD,QD,2,0,4S,AS,9H,9D,KD,1,0,5C,KC,AH,10D,3S,0,0
JS,8C,3S,5H,JC,7S,1,0,KH,AS,9H,2D,3D,0,0,QD,5S,8H,2C,QC,1,1,2S,3C,QS,AC,AD,1,0,2H,AH,8D,9S,6C,0,0,5D,6H,4C,KS,7H,0,0
10D,8D,9S,AH,JH,6H,0,0,4D,2C,6D,5H,10S,0,0,8C,3H,5C,AD,7H,0,1,8H,AC,7C,6C,QD,0,0,KC,JD,2H,3S,3D,1,0,AS,9D,2D,JS,QH,0,0
2D,5H,JC,7D,6C,KS,0,0,6D,4C,AD,4S,7S,1,0,2S,6S,JS,9H,3D,0,0,QS,9S,QC,KC,AS,1,1,5C,8H,JD,5S,AH,1,0,10C,QH,10H,KD,7H,1,0
QH,KS,5D,KD,2D,KC,0,1,3C,7H,3D,6H,JH,1,0,9H,AS,6C,4S,JD,0,0,AH,QC,4D,AD,QS,2,0,8H,10D,10C,9D,7S,1,0,8D,4H,8C,JS,3S,1,0
10C,10S,3S,4S,JD,KD,1,1,3H,6C,AC,KS,4C,0,0,AH,6H,6S,5C,4D,1,0,2S,9C,5H,JH,8D,0,0,10H,KC,AD,8S,QS,0,0,9D,7H,JS,5D,7C,1,0
8H,AD,8S,7D,6D,8C,1,0,5D,10S,KD,AH,6H,0,0,5C,4C,3S,5H,7C,1,1,QS,10D,10H,QC,JH,2,0,JS,2H,4S,9H,QH,0,0,8D,7S,JC,3C,5S,0,0
2S,2C,4H,8H,AD,4S,2,0,4D,KH,6C,KC,2H,0,0,JD,6H,AH,9S,5D,0,0,6D,8S,7S,8D,10C,1,0,QC,5S,10H,9D,8C,0,0,QH,7D,10S,QD,AC,1,1
3C,AH,10S,8S,5H,KD,0,0,9H,QD,6H,8D,QC,1,1,2C,QS,4H,7C,5S,0,0,4D,2D,4S,KS,8H,1,0,AD,JH,10H,3S,4C,0,0,10C,AS,2H,10D,QH,1,0
5C,7D,QC,6H,7C,KH,1,0,QH,8H,KC,10D,JC,0,0,2S,AC,5D,JH,4C,0,0,4D,5H,KS,10H,6D,0,0,2H,3D,7S,AD,5S,0,0,KD,3C,9D,9S,8D,1,1
